CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Annual_Purchases,Cluster
CUST1000,Female,30,99.2,18.5,21,0
CUST1001,Male,26,20.6,98.9,52,1
CUST1002,Male,27,89.8,23.3,11,0
CUST1003,Male,43,91.3,84.6,71,2
CUST1004,Female,45,70.0,76.9,70,2
CUST1005,Female,31,71.3,21.8,22,0
CUST1006,Female,38,91.8,11.9,26,0
CUST1007,Male,37,111.8,85.8,51,2
CUST1008,Female,27,27.1,78.5,47,1
CUST1009,Male,34,29.6,43.6,35,4
CUST1010,Male,21,17.6,74.7,59,1
CUST1011,Female,40,79.6,75.4,42,2
CUST1012,Male,42,31.8,54.8,35,4
CUST1013,Male,19,30.6,66.9,32,1
CUST1014,Male,37,98.3,35.1,19,0
CUST1015,Male,40,93.4,28.0,14,0
CUST1016,Male,41,32.7,44.2,38,4
CUST1017,Female,33,25.7,63.4,57,1
CUST1018,Female,22,88.0,45.0,16,0
CUST1019,Male,36,42.2,50.4,32,4
CUST1020,Male,34,23.4,60.2,38,4
CUST1021,Male,25,34.9,42.2,39,4
CUST1022,Male,60,59.6,24.0,8,3
CUST1023,Female,34,86.2,45.0,16,0
CUST1024,Male,22,37.5,70.4,43,1
CUST1025,Male,29,29.6,39.2,31,4
CUST1026,Male,55,34.0,54.5,34,4
CUST1027,Male,54,59.0,33.5,14,3
CUST1028,Male,43,105.7,77.4,58,2
CUST1029,Male,32,94.1,27.1,32,0
CUST1030,Female,25,37.1,31.7,40,4
CUST1031,Female,30,94.7,21.0,24,0
CUST1032,Female,26,32.3,44.1,26,4
CUST1033,Male,43,84.2,71.5,74,2
CUST1034,Female,27,25.9,78.9,52,1
CUST1035,Female,30,92.7,10.3,13,0
CUST1036,Male,35,33.9,59.6,38,4
CUST1037,Male,19,24.1,70.8,45,1
CUST1038,Female,60,44.2,25.0,19,3
CUST1039,Male,26,23.1,72.4,37,1
CUST1040,Male,30,72.5,32.0,19,0
CUST1041,Female,24,36.8,52.3,49,1
CUST1042,Female,43,43.5,52.7,33,4
CUST1043,Female,41,119.0,78.2,62,2
CUST1044,Female,21,26.7,90.1,37,1
CUST1045,Female,25,29.0,66.9,29,1
CUST1046,Female,25,25.7,81.4,59,1
CUST1047,Male,27,29.4,64.7,49,1
CUST1048,Female,42,35.9,45.4,15,4
CUST1049,Female,29,29.3,79.8,54,1
CUST1050,Female,20,25.3,77.0,52,1
CUST1051,Female,43,91.5,92.0,78,2
CUST1052,Male,45,83.7,100.0,61,2
CUST1053,Male,40,30.9,30.5,30,4
CUST1054,Male,45,75.2,64.0,64,2
CUST1055,Male,21,38.6,85.8,47,1
CUST1056,Male,49,103.5,83.3,56,2
CUST1057,Female,28,37.6,76.5,53,1
CUST1058,Female,67,48.8,22.0,10,3
CUST1059,Male,27,27.3,89.9,58,1
CUST1060,Male,28,22.0,47.3,36,4
CUST1061,Female,58,45.0,18.3,14,3
CUST1062,Female,34,74.4,37.6,19,0
CUST1063,Female,48,28.1,51.0,33,4
CUST1064,Male,23,29.7,80.6,41,1
CUST1065,Male,27,45.0,72.7,50,1
CUST1066,Female,48,30.7,52.3,37,4
CUST1067,Male,27,24.3,67.0,40,1
CUST1068,Male,71,64.4,28.4,15,3
CUST1069,Male,28,104.8,24.8,12,0
CUST1070,Male,26,77.1,24.1,17,0
CUST1071,Male,25,94.3,28.2,25,0
CUST1072,Female,56,50.9,40.0,16,3
CUST1073,Male,52,63.7,17.2,23,3
CUST1074,Female,22,93.8,34.0,28,0
CUST1075,Female,27,87.5,19.8,19,0
CUST1076,Male,54,64.2,33.6,13,3
CUST1077,Male,23,27.8,78.0,52,1
CUST1078,Female,25,39.4,43.1,28,4
CUST1079,Female,32,34.0,51.6,38,4
CUST1080,Male,42,94.0,86.7,78,2
CUST1081,Male,23,25.5,87.3,32,1
CUST1082,Female,41,36.5,68.1,37,4
CUST1083,Male,40,98.1,76.3,63,2
CUST1084,Male,36,84.4,23.1,5,0
CUST1085,Male,27,38.3,75.5,27,1
CUST1086,Male,43,70.0,88.5,59,2
CUST1087,Female,33,27.9,51.7,43,4
CUST1088,Male,29,83.2,10.9,25,0
CUST1089,Male,57,40.8,17.3,17,3
CUST1090,Female,22,65.0,30.1,19,0
CUST1091,Male,39,25.9,43.8,36,4
CUST1092,Male,34,72.7,17.3,15,0
CUST1093,Female,25,92.3,26.6,17,0
CUST1094,Male,31,34.8,50.6,32,4
CUST1095,Female,22,82.7,38.6,15,0
CUST1096,Male,22,29.1,80.6,49,1
CUST1097,Male,27,29.0,81.9,64,1
CUST1098,Male,38,29.3,64.8,30,4
CUST1099,Female,21,24.8,88.0,43,1
CUST1100,Male,65,35.0,25.5,20,3
CUST1101,Male,38,24.9,54.1,44,4
CUST1102,Female,24,26.6,71.0,36,1
CUST1103,Male,32,89.8,28.5,19,0
CUST1104,Female,24,98.8,17.2,26,0
CUST1105,Male,23,28.8,82.3,47,1
CUST1106,Female,28,69.2,22.1,16,0
CUST1107,Male,45,55.8,30.4,5,3
CUST1108,Female,24,79.3,16.6,22,0
CUST1109,Male,41,89.6,78.8,65,2
CUST1110,Female,36,108.8,73.1,68,2
CUST1111,Female,47,48.5,56.4,43,4
